,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
418,ATB301(26),3,2,10:00,11:00,1,1,1,1
419,ATB301(26),3,3,11:00,12:00,1,1,1,1
420,ATB301(26),3,4,12:00,13:00,1,0,1,2
421,ATB301(26),3,5,13:00,14:00,1,1,1,2
422,ATB301(26),3,6,14:00,15:00,0,0,1,2
423,ATB301(26),3,7,15:00,16:00,0,0,1,4
424,ATB301(26),3,8,16:00,17:00,0,0,1,3
425,ATB301(26),3,9,17:00,18:00,0,0,1,3
426,ATB301(26),3,10,18:00,19:00,0,0,1,4
427,ATB301(26),3,11,18:30,21:30,0,0,1,4
428,ATB301(26),4,1,9:00,10:00,1,0,1,1
429,ATB301(26),4,2,10:00,11:00,1,0,1,1
430,ATB301(26),4,3,11:00,12:00,1,1,1,1
431,ATB301(26),4,4,12:00,13:00,1,1,1,2
432,ATB301(26),4,5,13:00,14:00,0,0,1,2
433,ATB301(26),4,6,14:00,15:00,1,1,1,2
434,ATB301(26),4,7,15:00,16:00,1,0,1,4
435,ATB301(26),4,8,16:00,17:00,1,1,1,3
436,ATB301(26),4,9,17:00,18:00,1,1,1,3
437,ATB301(26),4,10,18:00,19:00,1,1,1,4
438,ATB301(26),4,11,18:30,21:30,1,1,1,4
439,ATB301(26),5,1,9:00,10:00,1,1,1,1
440,ATB301(26),5,2,10:00,11:00,1,0,1,1
441,ATB301(26),5,3,11:00,12:00,1,1,1,1
442,ATB301(26),5,4,12:00,13:00,1,1,1,2
443,ATB301(26),5,5,13:00,14:00,1,1,1,2
444,ATB301(26),5,6,14:00,15:00,1,1,1,2
445,ATB301(26),5,7,15:00,16:00,1,0,1,4
446,ATB301(26),5,8,16:00,17:00,1,1,1,3
447,ATB301(26),5,9,17:00,18:00,1,1,1,3
448,ATB301(26),5,10,18:00,19:00,1,1,1,4
449,ATB301(26),5,11,18:30,21:30,0,0,1,4
450,ATB301(26),6,1,9:00,10:00,1,1,1,1
451,ATB301(26),6,2,10:00,11:00,0,0,1,1
452,ATB301(26),6,3,11:00,12:00,1,1,1,1
453,ATB301(26),6,4,12:00,13:00,0,0,1,2
454,ATB301(26),6,5,13:00,14:00,1,0,1,2
455,ATB301(26),6,6,14:00,15:00,0,0,1,2
456,ATB301(26),6,7,15:00,16:00,0,0,1,4
457,ATB301(26),6,8,16:00,17:00,0,0,1,3
